Commodity,Volume (million tonnes),Total Energy (kcal),Total Protein (g),Total Fat (g),Total Carbohydrates (g),Total Fiber (g),Total Calcium (mg),Total Iron (mg),Total Zinc (mg),Total Vitamin B12 (µg),Total Vitamin A (µg RAE),Total Folate (µg),Total Vitamin D (µg)
Sugarcane,1870.0,5030300000000000.0,7480000000000.0,3740000000000.0,1368840000000000.0,11220000000000.0,117810000000000.0,11220000000000.0,3740000000000.0,0.0,0.0,0.0,0.0
Maize,1171.0,1124160000000000.0,39814000000000.0,17565000000000.0,245910000000000.0,31617000000000.0,23420000000000.0,5855000000000.0,5855000000000.0,0.0,0.0,491820000000000.0,0.0
Rice,1264.0,1643200000000000.0,34128000000000.0,3792000000000.0,353920000000000.0,5056000000000.0,126400000000000.0,15168000000000.0,5056000000000.0,0.0,0.0,733120000000000.0,0.0
Wheat,761.0,2587400000000000.0,100452000000000.0,19025000000000.0,547920000000000.0,81427000000000.0,228300000000000.0,29679000000000.0,21308000000000.0,0.0,0.0,289180000000000.0,0.0
Potatoes,359.0,312330000000000.0,7180000000000.0,359000000000.0,71800000000000.0,6462000000000.0,17950000000000.0,2872000000000.0,1077000000000.0,0.0,0.0,57440000000000.0,0.0
