Commodity,Total Energy (kcal),Total Protein (g),Total Calcium (mg),Total Iron (mg),Total Zinc (mg),Total Folate (µg),Total Vitamin B12 (µg),Total Vitamin A (µg RAE),Total Vitamin D (µg),Bioavailable Energy (kcal),Bioavailable Protein (g),Bioavailable Calcium (mg),Bioavailable Iron (mg),Bioavailable Zinc (mg),Bioavailable Folate (µg),Bioavailable Vitamin B12 (µg),Bioavailable Vitamin A (µg RAE),Bioavailable Vitamin D (µg)
Sugarcane,5030300000000000.0,7480000000000.0,117810000000000.0,11220000000000.0,3740000000000.0,0.0,0.0,0.0,0.0,5030300000000000.0,6732000000000.0,35343000000000.0,1683000000000.0,1496000000000.0,0.0,0.0,0.0,0.0
Maize,1124160000000000.0,39814000000000.0,23420000000000.0,5855000000000.0,5855000000000.0,491820000000000.0,0.0,0.0,0.0,1124160000000000.0,35832600000000.0,7026000000000.0,878250000000.0,2342000000000.0,295092000000000.0,0.0,0.0,0.0
Rice,1643200000000000.0,34128000000000.0,126400000000000.0,15168000000000.0,5056000000000.0,733120000000000.0,0.0,0.0,0.0,1643200000000000.0,30715200000000.0,37920000000000.0,2275200000000.0,2022400000000.0,439872000000000.0,0.0,0.0,0.0
Wheat,2587400000000000.0,100452000000000.0,228300000000000.0,29679000000000.0,21308000000000.0,289180000000000.0,0.0,0.0,0.0,2587400000000000.0,90406800000000.0,68490000000000.0,4451850000000.0,8523200000000.0,173508000000000.0,0.0,0.0,0.0
Potatoes,312330000000000.0,7180000000000.0,17950000000000.0,2872000000000.0,1077000000000.0,57440000000000.0,0.0,0.0,0.0,312330000000000.0,6462000000000.0,5385000000000.0,430800000000.0,430800000000.0,34464000000000.0,0.0,0.0,0.0
